CGPA,Internships,Projects,Certifications,Aptitude_Score,Technical_Skill,Coding_Skill,Communication_Skill,Soft_Skill,Backlogs,Extracurricular_Score,Leadership_Score,LinkedIn_GitHub_Activity,Placement_Training,Gender,Branch,Placed,Package_LPA
7.1,2,2,3,61.4,5.5,7.9,6.4,5.0,1,5.0,3.6,8.1,Yes,Male,CSE,0,0.0
5.92,1,3,1,78.2,3.3,5.7,5.7,6.8,0,6.4,9.7,10.0,Yes,Female,ECE,0,0.0
6.68,0,5,1,46.9,4.8,1.7,7.2,5.3,1,4.9,5.7,4.9,Yes,Male,MECH,0,0.0
6.94,1,2,2,48.0,4.0,6.5,7.5,7.1,0,6.4,6.8,8.0,Yes,Male,CSE,1,6.7
8.46,1,2,2,73.6,7.0,6.5,5.3,6.4,0,5.7,3.8,1.8,No,Female,CSM (AI/ML),1,8.32
7.74,2,4,0,61.7,6.4,4.0,5.0,7.5,0,3.4,7.1,3.3,Yes,Male,CSE,1,6.79
5.64,0,1,3,76.8,3.7,7.4,3.9,9.6,2,2.1,5.7,2.9,Yes,Male,CSM (AI/ML),1,5.36
7.72,2,2,1,48.3,3.6,4.0,6.0,6.3,0,6.7,4.2,6.1,Yes,Female,CIVIL,0,0.0
7.01,3,3,3,68.9,5.0,7.4,8.2,4.8,0,8.8,2.7,4.8,Yes,Female,CSE,1,10.27
6.72,2,3,3,70.7,6.3,6.3,7.4,4.0,0,10.0,4.5,5.7,Yes,Male,CSE,1,10.36
8.01,3,4,2,37.4,5.1,3.0,8.1,5.0,0,7.4,4.3,8.0,Yes,Male,ECE,1,10.48
8.43,1,5,2,61.9,6.8,5.1,5.4,7.8,0,8.4,6.8,3.7,No,Male,ECE,1,11.09
8.33,1,1,1,29.7,6.7,6.1,6.2,7.0,0,6.4,4.5,5.4,Yes,Male,CSM (AI/ML),0,0.0
6.56,0,1,2,85.5,7.1,6.4,3.5,6.6,2,6.1,1.0,2.1,No,Female,EEE,0,0.0
7.09,2,5,2,40.9,3.9,7.8,7.9,6.8,1,5.7,6.4,7.9,No,Female,CSE,1,11.63
7.73,1,3,2,59.0,5.8,8.0,8.4,7.3,3,5.3,7.7,7.7,No,Male,CSM (AI/ML),0,0.0
8.38,1,2,1,61.9,7.9,5.3,4.8,4.1,1,6.7,1.5,6.0,Yes,Female,CSE,1,8.88
6.92,1,5,1,46.6,5.1,6.9,8.8,7.7,0,4.5,8.8,5.5,No,Female,CSE,1,10.94
7.21,2,3,2,91.6,4.9,8.9,6.0,6.8,1,5.2,7.9,4.0,No,Female,CSM (AI/ML),0,0.0
6.29,0,0,1,50.9,5.4,3.9,4.8,4.3,0,3.1,3.7,2.0,Yes,Male,ECE,0,0.0
6.2,0,1,4,57.7,5.4,4.6,5.9,6.8,0,6.4,2.7,5.9,No,Male,CSE,0,0.0
8.21,1,3,2,51.0,6.4,2.7,7.3,4.5,0,3.6,7.2,6.9,Yes,Female,CSE,1,5.56
8.76,0,0,3,50.8,5.3,4.6,6.3,7.0,1,5.6,2.1,9.8,Yes,Female,EEE,0,0.0
7.33,1,3,1,60.3,3.0,6.2,5.5,6.5,0,6.5,3.6,4.3,No,Male,CSM (AI/ML),0,0.0
8.4,3,6,0,73.2,8.1,1.8,7.3,4.9,1,6.7,2.2,5.8,No,Female,CSE,1,8.57
7.76,0,2,2,64.6,7.0,6.6,7.4,6.9,2,7.0,5.0,7.8,No,Female,CSE,0,0.0
6.75,1,1,1,49.9,6.4,4.9,6.1,7.4,2,5.1,8.1,7.8,No,Female,MECH,0,0.0
7.76,0,1,3,61.9,6.0,5.7,5.9,5.5,2,6.5,5.8,3.8,Yes,Male,CSE,0,0.0
8.94,3,2,3,40.1,5.7,3.6,5.6,7.4,0,4.5,7.1,4.6,Yes,Female,ECE,1,9.26
7.36,3,0,0,80.9,4.9,5.6,7.1,5.9,2,1.6,4.3,4.0,No,Female,CSM (AI/ML),0,0.0
8.96,2,3,0,53.9,3.2,9.0,4.0,7.5,0,6.6,5.2,3.1,Yes,Female,MECH,0,0.0
4.78,2,4,0,54.8,8.8,5.0,5.3,6.2,0,6.1,2.4,8.6,Yes,Female,MECH,0,0.0
8.22,0,2,5,30.9,6.2,1.6,6.2,7.9,1,7.5,4.8,5.3,Yes,Male,EEE,1,4.33
7.49,0,4,4,53.9,3.6,8.1,5.2,5.0,2,5.4,3.4,5.0,Yes,Male,CSM (AI/ML),0,0.0
7.1,4,3,3,88.9,4.6,6.8,6.8,5.1,0,2.3,4.7,5.8,Yes,Male,EEE,1,9.33
7.49,3,2,1,71.8,6.7,6.0,6.6,5.2,1,5.3,4.5,5.3,Yes,Male,EEE,0,0.0
5.41,0,3,1,79.7,6.7,6.9,10.0,6.5,0,7.3,4.3,4.7,Yes,Male,CSM (AI/ML),0,0.0
7.18,2,5,2,63.9,5.0,6.0,5.3,6.1,0,6.5,9.4,3.4,Yes,Male,CIVIL,1,8.93
7.76,0,3,1,20.1,4.5,8.9,6.4,6.7,1,5.2,8.7,8.8,Yes,Female,IT,1,11.35
8.88,0,0,0,63.1,5.3,7.2,5.0,4.7,3,2.2,8.0,3.9,Yes,Female,CSM (AI/ML),0,0.0
6.88,0,2,1,65.2,3.1,4.9,9.3,5.3,0,3.4,8.8,3.1,No,Male,MECH,0,0.0
6.59,0,2,1,76.3,5.4,8.6,9.0,8.1,0,6.5,8.0,5.0,No,Female,ECE,0,0.0
6.9,2,3,0,61.4,5.5,9.3,4.0,6.8,0,2.2,5.0,10.0,Yes,Male,ECE,1,12.78
8.32,0,3,2,49.7,8.6,7.5,6.2,7.2,0,4.9,4.7,3.3,No,Male,CSM (AI/ML),1,12.52
7.73,0,2,3,60.4,5.5,6.6,6.5,5.9,1,5.6,5.5,6.8,Yes,Female,CSM (AI/ML),1,9.49
6.87,1,5,2,56.5,6.6,4.2,5.9,6.7,0,7.8,4.6,4.6,Yes,Male,CIVIL,0,0.0
7.91,3,1,6,70.4,8.8,7.1,5.7,5.6,0,6.7,2.8,5.8,Yes,Male,MECH,1,14.91
7.5,1,3,2,60.4,4.5,6.5,7.6,3.7,0,7.4,5.6,7.3,No,Male,CSM (AI/ML),0,0.0
8.37,2,2,2,46.2,5.2,5.7,9.1,7.7,0,6.1,1.7,1.2,Yes,Female,MECH,1,8.6
6.7,0,1,5,71.1,5.3,7.1,7.6,6.6,1,3.8,5.3,3.1,Yes,Male,EEE,1,7.49
7.07,0,2,2,50.2,3.5,6.0,7.7,5.3,0,4.3,2.9,7.3,Yes,Male,CSE,1,5.35
7.01,1,2,1,56.9,5.8,6.8,5.9,6.3,0,3.6,4.8,5.4,No,Male,CSE,1,8.28
5.94,1,3,1,54.6,8.1,7.8,7.9,5.6,0,6.7,5.4,5.7,Yes,Female,MECH,1,13.13
7.7,3,4,2,65.8,7.6,3.3,7.9,8.4,1,4.1,4.3,6.8,No,Male,MECH,1,8.84
7.66,0,3,0,40.1,8.1,3.9,5.7,7.2,1,4.7,1.6,3.2,Yes,Male,IT,0,0.0
7.41,0,2,3,62.5,5.2,4.1,6.1,4.7,2,5.5,2.5,7.6,No,Male,CSE,0,0.0
7.17,1,1,3,79.3,4.4,9.5,4.0,4.5,0,8.8,6.0,7.1,Yes,Male,ECE,1,10.61
5.98,1,2,1,63.5,9.8,7.0,4.4,6.7,1,6.8,3.8,5.7,Yes,Male,EEE,0,0.0
6.98,0,0,1,51.3,6.5,7.2,5.7,6.5,0,4.0,6.2,6.3,No,Male,ECE,0,0.0
7.06,0,2,3,56.1,3.6,7.9,4.8,7.0,2,5.8,5.0,7.9,No,Female,EEE,0,0.0
6.6,1,2,3,66.7,10.0,3.8,7.6,6.1,1,8.8,4.6,3.8,No,Male,CSE,1,6.18
7.24,1,0,1,71.0,6.1,1.9,6.2,5.4,0,6.7,5.7,6.7,Yes,Male,CSE,0,0.0
7.8,1,1,1,86.1,1.5,5.7,7.2,7.0,1,2.3,3.6,9.2,No,Female,CSE,0,0.0
9.29,2,2,3,36.0,8.5,7.5,4.6,7.1,0,3.7,5.8,6.7,No,Male,CSM (AI/ML),1,16.49
7.57,4,0,3,66.2,2.5,5.4,8.3,8.1,0,3.5,4.1,4.7,Yes,Female,CSM (AI/ML),1,8.15
7.66,1,4,0,65.0,6.7,3.2,7.1,7.3,1,8.4,10.0,10.0,No,Male,CIVIL,1,6.29
7.33,0,4,1,60.9,7.5,4.1,7.0,5.1,0,8.0,2.6,5.7,Yes,Female,CSE,1,7.84
5.48,1,2,3,67.7,7.3,3.6,7.8,6.7,0,4.2,4.2,8.4,Yes,Female,CSM (AI/ML),0,0.0
7.37,4,1,1,58.3,8.7,4.6,6.9,5.9,2,4.2,4.3,4.2,Yes,Male,IT,0,0.0
7.46,0,4,3,46.0,7.8,3.6,4.9,5.0,1,5.6,2.2,7.7,Yes,Male,ECE,0,0.0
9.86,1,6,0,65.4,9.2,6.1,7.3,3.8,1,5.6,6.5,3.9,Yes,Male,CSE,1,13.87
7.21,0,2,1,72.4,6.1,4.8,5.2,9.4,0,3.6,4.1,5.9,Yes,Female,CSM (AI/ML),0,0.0
7.7,1,3,3,61.2,5.5,7.0,6.7,5.5,0,5.0,0.0,3.8,No,Male,EEE,1,11.69
7.37,1,2,0,78.9,5.6,3.9,5.2,6.1,1,2.6,6.5,9.6,Yes,Female,CSE,1,5.73
6.23,1,2,3,58.2,8.4,6.3,8.9,6.6,0,8.0,3.7,4.7,No,Female,IT,1,10.09
8.54,0,3,0,69.4,5.2,5.7,7.4,6.5,0,2.0,4.8,2.7,Yes,Male,ECE,1,6.97
8.15,3,0,1,36.7,7.6,6.6,7.9,2.8,0,2.0,6.4,5.4,Yes,Female,EEE,1,12.28
8.19,2,3,2,97.9,4.8,6.8,5.3,6.1,0,6.4,4.2,6.4,Yes,Male,ECE,1,10.75
6.49,2,0,0,58.4,4.9,7.0,6.8,8.8,1,3.0,4.2,5.1,Yes,Male,IT,0,0.0
8.8,3,2,0,54.2,8.1,7.4,6.7,6.0,0,4.5,10.0,3.3,Yes,Male,ECE,1,13.83
6.0,1,1,0,57.7,6.9,6.8,6.6,8.6,1,5.6,0.5,7.6,Yes,Male,EEE,1,8.52
7.99,0,1,1,46.8,2.7,6.4,3.5,6.3,1,6.9,2.3,8.1,Yes,Male,CIVIL,0,0.0
9.59,3,1,2,43.3,4.8,4.5,9.3,5.8,1,5.1,2.7,1.4,No,Male,CIVIL,0,0.0
6.41,1,3,1,62.7,2.1,7.4,6.3,6.5,1,9.1,8.8,3.2,Yes,Female,CSE,0,0.0
6.83,4,1,1,63.8,5.6,4.5,7.2,6.4,0,5.5,3.6,4.8,Yes,Female,CSM (AI/ML),0,0.0
7.5,0,1,0,65.6,5.8,5.2,4.4,6.3,1,7.9,5.5,4.0,Yes,Female,CSE,0,0.0
6.9,1,3,0,61.5,5.4,4.2,8.6,5.5,0,6.1,4.0,6.4,Yes,Female,CSE,0,0.0
5.85,1,2,2,60.7,8.1,4.1,8.5,4.4,1,9.8,6.3,9.4,Yes,Female,CIVIL,1,7.07
7.47,1,1,2,42.8,6.9,5.2,7.7,7.1,1,7.6,5.0,4.3,Yes,Male,CSM (AI/ML),0,0.0
6.34,2,1,4,54.2,10.0,5.4,6.8,6.4,0,5.6,5.5,8.8,Yes,Male,CSM (AI/ML),0,0.0
7.87,1,3,0,64.6,7.1,4.3,9.9,8.6,0,6.8,7.7,1.8,No,Male,CSE,1,6.93
6.48,0,3,5,53.4,7.1,5.8,7.9,6.3,1,5.0,5.9,6.2,No,Male,IT,1,8.8
8.95,2,2,3,66.7,6.6,6.1,4.4,4.2,1,5.0,3.5,3.8,Yes,Female,MECH,0,0.0
6.62,1,3,2,59.8,5.8,4.8,6.7,6.8,1,2.9,5.7,6.3,Yes,Female,ECE,0,0.0
7.08,2,1,3,59.7,5.2,10.0,7.3,6.4,1,3.9,10.0,1.2,No,Female,MECH,1,11.19
8.21,0,2,1,65.3,5.8,6.4,6.6,5.7,1,9.6,6.2,2.2,No,Male,MECH,0,0.0
6.17,2,2,1,69.8,5.9,6.0,7.3,7.2,1,3.1,5.3,6.3,No,Female,EEE,1,6.64
7.63,4,1,2,73.3,6.0,4.5,8.6,7.0,0,4.2,2.1,3.8,Yes,Female,CSE,0,0.0
8.71,1,1,3,93.7,7.2,6.1,6.1,4.6,1,5.3,6.5,4.5,No,Male,MECH,1,11.01
5.79,1,2,1,75.8,6.7,6.3,5.8,5.6,0,5.4,6.8,9.4,No,Male,ECE,0,0.0
7.58,2,5,2,38.3,5.4,5.8,4.8,7.8,0,6.3,5.7,5.5,Yes,Female,MECH,1,12.17
7.66,1,0,2,44.7,5.0,8.5,3.6,4.9,1,4.6,5.2,7.3,No,Male,ECE,0,0.0
8.18,0,1,1,57.6,6.6,2.6,5.9,6.1,0,6.4,10.0,3.5,No,Female,IT,0,0.0
6.16,1,3,3,49.8,4.7,5.1,5.4,6.6,1,7.8,6.8,2.1,Yes,Female,EEE,0,0.0
6.08,3,3,3,68.2,5.5,7.2,6.1,4.7,0,8.0,7.6,5.0,No,Male,ECE,1,11.66
7.92,0,1,3,69.9,5.3,4.1,5.5,6.2,1,5.0,5.1,1.8,No,Male,CIVIL,0,0.0
7.7,2,2,5,54.3,10.0,2.9,4.8,6.1,1,6.7,4.7,3.6,No,Female,CSM (AI/ML),1,10.01
7.65,1,3,2,81.0,4.2,4.8,5.6,5.8,2,3.2,6.3,5.7,No,Female,CSM (AI/ML),1,4.73
7.75,2,2,0,85.3,4.9,7.8,7.2,4.2,1,4.1,4.7,4.9,Yes,Male,ECE,0,0.0
6.72,3,4,2,33.0,5.3,4.1,5.6,6.3,0,3.2,4.9,6.0,Yes,Male,ECE,0,0.0
7.63,1,3,1,39.1,5.5,5.1,6.1,5.4,0,5.4,6.0,6.6,Yes,Male,CSE,0,0.0
7.69,1,4,0,79.6,7.8,6.6,9.5,7.8,1,3.8,3.9,2.4,No,Female,EEE,1,12.62
6.69,4,4,2,75.9,5.8,4.7,8.0,6.9,0,2.5,5.5,3.0,Yes,Male,MECH,1,9.26
9.27,1,2,2,70.0,4.1,5.0,6.7,5.2,1,4.7,5.2,0.2,Yes,Male,ECE,1,7.25
7.87,0,2,2,62.2,8.5,4.6,6.8,5.7,0,2.0,7.0,4.3,Yes,Female,ECE,1,8.3
6.21,0,1,3,60.4,6.6,4.7,5.3,6.5,0,8.2,3.7,6.9,Yes,Male,CSM (AI/ML),0,0.0
8.06,1,5,0,70.6,6.9,3.6,5.8,5.7,0,4.4,0.8,8.6,Yes,Female,CIVIL,0,0.0
6.43,0,0,3,64.8,7.2,5.3,6.0,4.2,2,7.5,4.3,5.6,No,Female,MECH,0,0.0
8.19,0,4,0,82.9,4.2,7.8,6.6,6.7,1,4.5,5.8,8.4,Yes,Male,ECE,1,10.29
8.56,0,2,1,51.1,6.2,8.8,6.3,7.0,1,3.1,7.0,6.1,No,Male,EEE,1,10.18
6.58,3,0,3,62.3,7.5,8.2,4.7,7.3,0,7.9,3.5,5.4,No,Male,CSM (AI/ML),1,12.11
8.36,0,2,0,76.2,5.2,6.1,7.3,7.6,0,5.7,6.1,3.8,Yes,Male,CSE,0,0.0
7.81,1,2,1,64.6,6.7,9.0,5.5,5.1,0,9.3,7.4,0.0,Yes,Female,CSE,1,14.49
8.22,0,2,0,72.8,7.1,10.0,9.3,7.4,0,4.6,6.6,8.0,No,Male,CSE,1,13.92
9.3,0,4,0,72.5,3.9,6.1,8.3,4.7,0,4.6,3.3,5.1,Yes,Male,ECE,1,6.53
7.15,0,1,1,55.2,4.5,3.9,3.9,6.8,3,7.5,3.6,8.4,Yes,Male,EEE,0,0.0
6.65,0,4,3,45.7,2.5,8.3,6.0,5.3,0,7.5,5.9,3.0,No,Male,CSM (AI/ML),1,7.74
6.51,1,1,1,50.0,6.6,3.5,8.8,6.9,0,5.8,8.4,10.0,No,Male,ECE,1,6.13
6.58,0,1,1,44.7,9.2,4.1,7.4,4.2,0,10.0,5.0,4.6,Yes,Female,CSE,0,0.0
7.32,0,6,4,32.3,5.1,1.8,6.5,7.1,0,4.9,4.7,3.6,No,Male,MECH,0,0.0
7.74,1,6,2,79.5,5.9,7.2,2.9,5.2,0,3.0,2.1,4.7,Yes,Male,CSE,1,13.44
7.68,1,0,1,31.8,7.8,1.4,6.1,7.0,0,3.5,4.2,5.6,Yes,Female,EEE,0,0.0
8.23,0,3,1,91.8,6.6,7.7,6.7,6.8,2,5.0,3.5,5.0,Yes,Female,CSM (AI/ML),0,0.0
7.41,0,2,0,53.6,4.6,9.2,3.3,6.8,1,8.5,5.1,4.0,Yes,Male,CSE,0,0.0
8.85,1,2,3,57.5,8.6,9.1,7.3,6.4,0,5.1,1.8,1.1,Yes,Male,ECE,1,14.75
7.14,2,2,1,37.8,6.5,3.4,5.3,4.7,0,8.6,4.3,3.4,Yes,Male,MECH,1,6.64
10.0,1,2,4,68.2,5.8,2.3,6.9,8.4,1,6.4,2.9,7.7,Yes,Male,CSM (AI/ML),1,6.58
8.03,0,1,2,57.8,6.0,4.6,6.6,6.1,1,7.7,7.0,3.2,No,Female,CSM (AI/ML),0,0.0
6.54,1,3,2,63.0,7.1,7.5,6.0,6.1,0,6.3,3.2,1.3,No,Male,CSE,0,0.0
6.33,1,3,3,49.4,5.2,8.1,7.6,8.2,0,6.3,3.8,2.8,Yes,Female,ECE,1,11.24
7.88,1,3,1,69.7,8.7,7.1,6.8,5.1,1,7.0,5.6,5.0,Yes,Female,MECH,0,0.0
7.18,1,4,3,48.8,8.2,6.8,10.0,6.2,1,4.4,4.0,3.5,Yes,Female,ECE,1,10.79
8.11,1,2,0,63.3,6.2,10.0,9.1,6.5,0,4.4,10.0,4.6,No,Male,CSE,1,13.97
7.87,2,2,6,69.4,6.3,4.9,4.9,6.0,1,6.2,7.0,3.4,Yes,Male,EEE,0,0.0
7.33,2,4,3,85.2,4.8,4.3,8.2,6.7,0,9.4,5.0,7.5,Yes,Male,CSE,1,7.49
6.55,4,2,0,74.9,5.2,3.5,5.3,5.5,0,2.4,5.8,6.3,Yes,Female,MECH,1,5.07
5.89,0,4,1,63.4,4.4,6.6,4.6,6.2,1,1.4,0.1,10.0,No,Male,IT,0,0.0
6.95,2,0,1,61.9,5.9,5.5,4.2,6.5,0,5.0,7.6,4.3,Yes,Male,ECE,1,6.57
8.26,2,1,1,67.0,6.3,7.4,5.9,8.2,1,7.6,6.1,4.5,No,Male,CIVIL,1,12.2
7.61,2,1,2,74.3,3.7,4.9,7.9,8.6,0,5.6,4.8,7.9,No,Male,CSE,0,0.0
6.15,2,2,0,50.1,7.3,7.0,6.6,6.5,0,3.2,6.2,6.1,No,Female,CSE,0,0.0
7.57,0,4,1,76.5,4.8,5.1,7.2,8.0,1,5.7,6.4,3.0,Yes,Female,CSM (AI/ML),0,0.0
7.79,1,2,2,47.0,6.9,5.5,1.6,5.3,0,2.0,4.1,6.5,No,Female,MECH,0,0.0
6.52,1,5,1,69.3,7.5,5.7,6.1,9.5,1,6.8,5.8,6.1,Yes,Female,ECE,1,9.14
7.55,1,1,5,70.7,8.3,2.6,4.8,6.0,1,4.9,7.2,1.1,No,Male,CSM (AI/ML),1,8.15
7.46,0,2,4,51.3,8.0,5.5,4.0,6.3,0,5.3,6.0,3.7,No,Male,CSE,1,9.66
6.26,1,2,2,37.3,8.9,6.9,4.6,7.0,0,6.4,4.5,5.6,Yes,Male,MECH,0,0.0
7.76,1,5,1,57.8,7.5,3.9,6.5,7.5,0,5.9,5.6,8.5,Yes,Male,CSE,1,8.57
7.96,1,2,3,19.9,6.5,9.4,7.4,6.1,0,4.4,7.9,6.8,Yes,Male,CSM (AI/ML),1,12.84
8.48,0,2,2,59.1,5.4,5.8,5.0,3.5,1,7.6,6.6,3.9,Yes,Female,CSE,1,8.95
8.45,0,1,2,42.0,6.0,4.6,7.3,7.2,1,7.1,2.6,3.6,No,Female,CSE,0,0.0
6.02,0,0,2,100.0,8.8,4.6,7.6,5.0,1,2.0,6.2,7.0,No,Female,CSE,1,5.84
6.46,1,1,6,78.9,5.9,8.4,6.9,7.4,0,5.0,6.0,0.0,Yes,Male,ECE,1,11.01
7.92,3,1,1,63.2,6.2,4.2,5.1,7.4,0,3.3,7.4,3.3,Yes,Male,CSM (AI/ML),1,9.37
7.91,1,0,0,83.3,8.6,6.4,5.7,6.6,0,3.0,5.1,8.4,Yes,Female,ECE,1,9.83
7.92,1,3,0,73.3,5.8,7.5,6.9,7.6,0,6.6,4.2,5.9,Yes,Female,MECH,1,10.69
10.0,3,2,0,43.4,4.9,6.9,5.3,5.6,0,4.7,2.1,3.5,No,Male,CIVIL,1,10.67
7.97,1,1,2,52.0,8.0,4.7,7.4,8.2,3,5.2,3.5,2.4,Yes,Male,CSE,0,0.0
8.54,0,4,4,78.5,4.9,7.4,4.7,6.5,1,4.2,7.5,7.1,No,Male,CSE,1,12.24
8.35,1,3,1,46.6,6.8,6.1,7.0,6.0,1,6.2,5.4,5.4,No,Female,CSM (AI/ML),1,7.89
8.05,0,3,0,68.3,6.6,2.5,7.8,7.9,0,6.9,4.8,4.7,No,Male,ECE,1,4.28
7.08,0,2,2,72.8,6.7,8.1,6.7,5.4,0,9.8,7.7,6.1,Yes,Male,CSE,1,11.53
8.16,3,1,0,57.8,2.3,4.6,4.9,3.4,1,5.1,7.3,5.6,No,Female,EEE,0,0.0
6.63,0,4,0,64.4,7.4,5.5,4.0,4.6,2,2.6,3.5,5.4,Yes,Female,ECE,1,7.82
7.16,1,1,2,75.3,6.1,6.4,4.7,8.3,0,4.5,7.5,2.2,No,Male,MECH,0,0.0
6.91,0,4,0,74.5,7.2,4.8,7.1,6.6,1,7.2,1.5,2.8,Yes,Male,CSM (AI/ML),0,0.0
7.48,2,1,1,69.2,7.0,7.2,6.1,6.5,2,4.0,6.0,6.9,Yes,Female,CSM (AI/ML),1,8.9
9.71,0,5,1,61.8,6.7,3.7,5.5,7.6,0,2.5,5.7,6.5,No,Male,MECH,1,9.82
5.53,0,2,3,71.4,5.6,4.7,7.0,6.7,2,4.0,7.4,6.1,Yes,Male,CSE,1,4.89
8.09,0,2,1,29.7,5.6,8.1,3.4,5.9,0,4.4,5.8,3.9,Yes,Female,CSM (AI/ML),0,0.0
